groom_giver,groom_reciever,constrained_duration,observation_name
7W2,0T5,145,0T5 2022-06-23 10:09:14 Josue Negron
8U7,7D8,286,7D8 2022-06-23 11:05:46 Josue Negron
8H0,0L1,276,0L1 2022-06-23 11:43:48 Josue Negron
2L8,43J,111,2L8 2022-06-23 12:12:33 Josue Negron
2X2,50I,112,50I 2022-06-23 12:25:17 Josue Negron
9H7,50I,205,50I 2022-06-23 12:25:17 Josue Negron
5Q0,6T9,46,5Q0 2022-06-23 12:42:58 Josue Negron
7E1,8P9,279,7E1 2022-07-01 10:04:53 Josue Negron
7E1,8P9,264,8P9 2022-07-05 09:55:14 Josue Negron
0T0,1L5,41,1L5 2022-07-06 12:23:55 Josue Negron
5Q0,8D8,586,8D8 2022-07-06 13:33:56 Josue Negron
8C0,04N,556,8C0 2022-07-12 12:49:01 Josue Negron
6C0,9N3,73,6C0 2022-07-13 13:35:34 Josue Negron
9N3,6C0,250,6C0 2022-07-13 13:35:34 Josue Negron
0K2,6C0,132,6C0 2022-07-13 13:35:34 Josue Negron
1L5,7U2,246,1L5 2022-07-14 08:49:39 Josue Negron
7U2,1L5,56,1L5 2022-07-14 08:49:39 Josue Negron
1L5,7U2,77,1L5 2022-07-14 08:49:39 Josue Negron
0T5,9N3,168,0T5 2022-07-14 11:12:11 Josue Negron
8C0,6Q2,194,8C0 2022-07-18 10:20:07 Josue Negron
55V,7V3,320,55V 2022-07-18 11:08:37 Josue Negron
8U6,55V,184,55V 2022-07-18 11:08:37 Josue Negron
9U1,7E1,99,7E1 2022-07-19 11:08:51 Josue Negron
1L5,3E2,50,1L5 2022-07-19 13:16:12 Josue Negron
9H7,2X2,61,9H7 2022-07-20 12:11:24 Josue Negron
6Q4,5K3,541,5K3 2022-07-26 12:17:53 Josue Negron
7D8,5T1,27,7D8 2022-07-28 11:30:50 Josue Negron
8P8,5C0,427,5C0 2022-07-28 12:11:07 Josue Negron
5C0,8P8,86,5C0 2022-07-28 12:11:07 Josue Negron
9E5,8U6,332,9E5 2022-07-28 12:54:33 Josue Negron
6T9,5Q0,137,5Q0 2022-08-01 11:58:24 Josue Negron
9H7,50I,50,50I 2022-08-01 12:39:53 Josue Negron
50I,9H7,517,50I 2022-08-01 12:39:53 Josue Negron
7E1,8P9,321,8P9 2022-08-01 12:52:47 Josue Negron
98T,43P,435,98T 2022-08-01 13:07:40 Josue Negron
6C0,5Q8,42,5Q8 2022-08-04 11:56:49 Josue Negron
5Q8,6C0,531,5Q8 2022-08-04 11:56:49 Josue Negron
5T0,9I6,107,9I6 2022-08-04 13:24:52 Josue Negron
1A3,55V,194,1A3 2022-08-08 12:19:20 Josue Negron
8U6,55V,29,55V 2022-08-08 13:06:19 Josue Negron
0G5,0T5,23,0G5 2022-08-10 10:22:34 Josue Negron
5T5,2A7,78,2A7 2022-08-10 11:51:35 Josue Negron
6O3,3S3,303,3S3 2022-08-10 12:06:08 Josue Negron
8A9,5T5,110,8A9 2022-08-10 12:57:15 Josue Negron
5T5,8A9,213,8A9 2022-08-10 12:57:15 Josue Negron
5J7,5T3,111,5J7 2022-08-15 09:49:39 Josue Negron
5T3,5J7,247,5J7 2022-08-15 09:49:39 Josue Negron
0T0,9D8,499,9D8 2022-08-15 12:52:12 Josue Negron
82L,5T1,99,82L 2022-08-17 09:59:55 Josue Negron
0T5,8P8,265,0T5 2022-08-18 13:22:19 Josue Negron
0K2,1A3,26,1A3 2022-08-23 11:50:38 Josue Negron
9A4,3S3,421,3S3 2022-08-23 13:11:29 Josue Negron
9W1,5J7,48,5J7 2022-08-23 13:39:26 Josue Negron
5J7,9W1,99,5J7 2022-08-23 13:39:26 Josue Negron
9I6,1L5,406,9I6 2022-08-24 13:09:11 Josue Negron
7U2,4C2,228,4C2 2022-08-24 13:20:06 Josue Negron
7U2,4C2,17,4C2 2022-08-24 13:20:06 Josue Negron
8J6,9E5,55,9E5 2022-08-29 12:07:30 Josue Negron
9H7,7E1,228,7E1 2022-08-29 13:42:02 Josue Negron
5J7,9W1,132,5J7 2022-08-30 09:55:34 Josue Negron
5Q0,3W4,139,5Q0 2022-09-12 11:22:31 Josue Negron
3E2,0T5,270,3E2 2022-09-14 11:52:30 Josue Negron
0T5,3E2,262,3E2 2022-09-14 11:52:30 Josue Negron
0T5,9D1,363,0T5 2022-09-14 13:10:29 Josue Negron
5C0,0T5,155,0T5 2022-11-28 10:08:32 Josue Negron
8P8,5C0,394,8P8 2022-11-28 11:14:19 Josue Negron
2L8,43P,532,43P 2022-11-28 11:26:06 Josue Negron
8P8,43P,143,43P 2022-11-28 11:26:06 Josue Negron
1A3,6T3,323,1A3 2022-11-28 12:51:50 Josue Negron
6T3,1A3,217,1A3 2022-11-28 12:51:50 Josue Negron
8T9,4S5,247,4S5 2022-11-29 11:21:01 Josue Negron
8T9,4S5,109,4S5 2022-11-29 11:21:01 Josue Negron
3W4,1H6,56,1H6 2022-11-29 13:15:00 Josue Negron
1H6,3W4,34,1H6 2022-11-29 13:15:00 Josue Negron
98T,2L8,117,98T 2022-12-01 07:47:16 Josue Negron
9D8,8H0,126,8H0 2022-12-06 11:55:12 Josue Negron
4C2,7E1,38,4C2 2022-12-06 13:24:25 Josue Negron
1H6,6R5,201,1H6 2022-12-07 09:58:13 Josue Negron
1H6,9A4,140,1H6 2022-12-07 09:58:13 Josue Negron
0W5,5Q8,42,5Q8 2022-12-12 09:56:40 Josue Negron
5Q8,0W5,292,5Q8 2022-12-12 09:56:40 Josue Negron
0W5,5Q8,147,5Q8 2022-12-12 09:56:40 Josue Negron
4C2,5G3,159,5G3 2022-12-12 10:08:34 Josue Negron
5G3,4C2,143,5G3 2022-12-12 10:08:34 Josue Negron
9T1,8A7,184,8A7 2022-12-13 12:01:36 Josue Negron
9T1,8A7,121,8A7 2022-12-13 12:01:36 Josue Negron
9I6,6P5,198,6P5 2022-12-13 13:07:53 Josue Negron
6P5,9I6,155,6P5 2022-12-13 13:07:53 Josue Negron
3S3,1H6,112,3S3 2022-12-14 10:23:00 Josue Negron
1H6,3S3,58,3S3 2022-12-14 10:23:00 Josue Negron
04N,3E2,585,3E2 2022-12-14 11:02:43 Josue Negron
0T5,1J0,146,1J0 2022-12-14 11:37:42 Josue Negron
0T5,1J0,152,1J0 2022-12-14 11:37:42 Josue Negron
0T5,1J0,38,1J0 2022-12-14 11:37:42 Josue Negron
2H6,8W1,65,2H6 2022-12-14 12:16:56 Josue Negron
7W1,9D1,284,9D1 2022-12-14 12:42:56 Josue Negron
0X8,8C0,49,8C0 2022-12-14 13:51:46 Josue Negron
0G5,43P,126,0G5 2022-12-15 10:56:28 Josue Negron
0G5,43P,52,0G5 2022-12-15 10:56:28 Josue Negron
8P8,43P,529,8P8 2022-12-15 12:31:58 Josue Negron
9U3,9E5,227,9E5 2022-12-15 12:44:29 Josue Negron
9E5,9N1,25,9E5 2022-12-15 12:44:29 Josue Negron
0X9,5Q0,83,5Q0 2022-12-15 13:40:13 Josue Negron
0X9,5Q0,147,5Q0 2022-12-15 13:40:13 Josue Negron
