id,sex,year.of.birth,age,mother,father,behavioral.mother,group.at.birth,rank,ordinal.rank,percofsex.dominanted,numObs,propObs,hrs.focalfollowed,focalcutoff_met
14E,F,1994,24,L49,G20,L49,V,1,H,100,609,0.014912581,1.880115087,Y
0M4,F,2010,8,14E,72O,14E,V,2,H,95.65217391,586,0.01434938,1.808176517,Y
0M3,F,2010,8,1B3,61R,1B3,V,3,H,93.47826087,474,0.011606837,1.457866958,Y
0F0,F,2007,11,31L,61B,31L,V,4,H,91.30434783,76,0.001861012,0.21301692,N
1K1,F,2009,9,31L,98K,31L,V,5,H,89.13043478,566,0.013859641,1.745621239,Y
5C6,F,2005,13,31L,Z46,31L,V,6,H,86.95652174,226,0.005534061,0.682181507,Y
2E4,F,2006,12,29J,54F,29J,V,7,H,84.7826087,0,0,0,N
9C1,F,2006,12,67F,54F,67F,V,8,H,82.60869565,635,0.015549243,1.961436949,Y
00V,F,2003,15,30J,51A,30J,V,9,H,80.43478261,580,0.014202458,1.789409934,Y
2G4,F,2008,10,00V,30S,00V,V,10,M,78.26086957,637,0.015598217,1.967692477,Y
53Z,F,2004,14,30J,51A,30J,V,11,M,76.08695652,522,0.012782213,1.607999626,Y
1G1,F,2008,10,48S,61B,48S,V,12,M,73.91304348,492,0.012047603,1.514166709,Y
0K0,F,2009,9,15E,12E,15E,V,13,M,71.73913043,131,0.003207797,0.385043935,N
13H,F,1997,21,J41,S76,J41,V,14,M,69.56521739,24,0.000587688,0.050373196,N
1I7,F,2009,9,13H,12E,13H,V,15,M,67.39130435,541,0.013247466,1.667427141,Y
7K8,F,2010,8,13B,97V,13B,V,17,M,63.04347826,532,0.013027083,1.639277266,Y
7C4,F,2005,13,13B,17L,13B,V,18,M,60.86956522,513,0.01256183,1.579849751,Y
4J4,F,2009,9,90T,72O,90T,V,19,M,58.69565217,436,0.010676331,1.33901193,Y
52Z,F,2004,14,78I,01K,78I,V,20,M,56.52173913,394,0.009647877,1.207645845,Y
1G6,F,2008,10,52Z,30S,52Z,V,22,M,52.17391304,334,0.008178657,1.01998001,Y
93T,F,2003,15,L66,51A,L66,V,23,M,50,443,0.01084774,1.360906277,Y
90T,F,2003,15,79I,72H,79I,V,24,L,47.82608696,441,0.010798766,1.354650749,Y
1K2,F,2009,9,99J,60L,99J,V,25,L,45.65217391,487,0.011925168,1.498527889,Y
5L7,F,2010,8,81E,60L,81E,V,26,L,43.47826087,398,0.009745825,1.220156901,Y
8N3,F,2011,7,15E,12E,15E,V,27,L,41.30434783,435,0.010651844,1.335884166,Y
2I3,F,2009,9,52Z,51A,52Z,V,28,L,39.13043478,517,0.012659778,1.592360807,Y
2G2,F,2008,10,81E,61B,81E,V,29,L,36.95652174,514,0.012586317,1.582977515,Y
1G0,F,2008,10,25N,41N,25N,V,30,L,34.7826087,452,0.011068123,1.389056152,Y
1I5,F,2009,9,01R,72O,01R,V,31,L,32.60869565,493,0.01207209,1.517294473,Y
2G3,F,2008,10,47Z,NA,47Z,V,33,L,28.26086957,441,0.010798766,1.354650749,Y
4C9,F,2005,13,20C,44E,20C,V,34,L,26.08695652,534,0.013076057,1.645532793,Y
45Z,F,2004,14,20C,51J,20C,V,35,L,23.91304348,486,0.011900681,1.495400125,Y
1B0,F,2004,14,99J,12E,99J,V,37,L,19.56521739,499,0.012219012,1.536061056,Y
3H0,F,2008,10,1B0,NA,1B0,V,38,L,17.39130435,557,0.013639258,1.717471363,Y
4C5,F,2005,13,T03,51A,T03,V,39,L,15.2173913,402,0.009843773,1.232667957,Y
5L8,F,2010,8,4C5,10R,4C5,V,40,L,13.04347826,486,0.011900681,1.495400125,Y
3D9,F,2007,11,T03,51A,T03,V,41,L,10.86956522,408,0.009990695,1.25143454,Y
2K1,F,2010,8,98J,46Z,98J,V,42,L,8.695652174,418,0.010235565,1.282712179,Y
85T,F,2003,15,98J,51A,98J,V,43,L,6.52173913,502,0.012292473,1.545444348,Y
1G4,F,2008,10,85T,30S,85T,V,44,L,4.347826087,439,0.010749792,1.348395221,Y
51Z,F,2004,14,97J,61B,97J,V,45,L,2.173913043,544,0.013320927,1.676810433,Y
1I6,F,2009,9,51Z,60L,51Z,V,46,L,0,439,0.010749792,1.348395221,Y
61R,M,2001,17,07A,45A,07A,KK,1,H,100,687,0.016822567,2.124080673,Y
2K4,M,2010,8,2E4,12O,2E4,V,2,H,96.61016949,69,0.001689603,0.191122573,N
0M1,M,2010,8,13H,12E,13H,V,3,H,94.91525424,513,0.01256183,1.579849751,Y
2K6,M,2010,8,9C1,49Z,9C1,V,4,H,93.22033898,592,0.014496302,1.826943101,Y
2K5,M,2010,8,52Z,60L,52Z,V,5,H,91.52542373,532,0.013027083,1.639277266,Y
5N5,M,2011,7,5E8,70C,5E8,V,6,H,89.83050847,432,0.010578383,1.326500874,Y
2K3,M,2010,8,90T,46Z,90T,V,7,H,88.13559322,483,0.01182722,1.486016834,Y
18I,M,1998,20,L80,K42,L80,F,8,H,86.44067797,46,0.001126402,0.119184002,N
77I,M,1998,20,S97,D52,S97,R,9,H,84.74576271,525,0.012855674,1.617382918,Y
81O,M,2000,18,02A,L83,02A,R,10,H,83.05084746,424,0.010382487,1.301478763,Y
12O,M,1999,19,I56,85A,I56,S,11,H,81.3559322,455,0.011141584,1.398439444,Y
