date,observation.name,scan.number,focal.monkey,in.proximity,focal.activity,partners.activity (sequential),time
2022-03-16,04T 2022-03-16 13:47:30 Daniel Phillips,3,04T,"04T, 1K1",Rest,Rest,2022-03-16T13:57:30Z
2022-03-25,04T 2022-03-25 09:35:07 Daniel Phillips,1,04T,04T,Rest,NA,2022-03-25T09:35:07Z
2022-03-25,04T 2022-03-25 09:35:07 Daniel Phillips,2,04T,"04T, 1G4",Feed,Feed,2022-03-25T09:40:07Z
2022-03-25,04T 2022-03-25 09:35:07 Daniel Phillips,3,04T,04T,Feed,NA,2022-03-25T09:45:07Z
2022-04-04,04T 2022-04-04 11:56:53 Daniel Phillips,1,04T,04T,Rest,NA,2022-04-04T11:56:53Z
2022-04-04,04T 2022-04-04 11:56:53 Daniel Phillips,2,04T,04T,Rest,NA,2022-04-04T12:01:53Z
2022-04-04,04T 2022-04-04 11:56:53 Daniel Phillips,3,04T,"04T, 8M1",Rest,Rest,2022-04-04T12:06:53Z
2022-04-13,04T 2022-04-13 09:38:50 Daniel Phillips,1,04T,"9P3, 04T",Feed,Feed,2022-04-13T09:38:50Z
2022-04-13,04T 2022-04-13 09:38:50 Daniel Phillips,2,04T,04T,Rest,NA,2022-04-13T09:43:50Z
2022-04-13,04T 2022-04-13 09:38:50 Daniel Phillips,3,04T,04T,Rest,NA,2022-04-13T09:48:50Z
2022-05-17,04T 2022-05-17 09:32:27 Daniel Phillips,1,04T,04T,Rest,NA,2022-05-17T09:32:27Z
2022-05-17,04T 2022-05-17 09:32:27 Daniel Phillips,2,04T,04T,Rest,NA,2022-05-17T09:37:27Z
2022-05-17,04T 2022-05-17 09:32:27 Daniel Phillips,3,04T,04T,Travel,NA,2022-05-17T09:42:27Z
2022-05-26,04T 2022-05-26 07:49:14 Daniel Phillips,1,04T,04T,Rest,NA,2022-05-26T07:49:14Z
2022-05-26,04T 2022-05-26 07:49:14 Daniel Phillips,2,04T,04T,Travel,NA,2022-05-26T07:54:15Z
2022-05-26,04T 2022-05-26 07:49:14 Daniel Phillips,3,04T,04T,Travel,NA,2022-05-26T07:59:15Z
2022-06-08,04T 2022-06-08 13:02:38 Daniel Phillips,1,04T,04T,Rest,NA,2022-06-08T13:02:38Z
2022-06-08,04T 2022-06-08 13:02:38 Daniel Phillips,2,04T,04T,Rest,NA,2022-06-08T13:07:38Z
2022-06-08,04T 2022-06-08 13:02:38 Daniel Phillips,3,04T,04T,Rest,NA,2022-06-08T13:12:38Z
2022-06-14,04T 2022-06-14 09:21:28 Daniel Phillips,1,04T,04T,Rest,NA,2022-06-14T09:21:28Z
2022-06-14,04T 2022-06-14 09:21:28 Daniel Phillips,2,04T,04T,Feed,NA,2022-06-14T09:26:28Z
2022-06-14,04T 2022-06-14 09:21:28 Daniel Phillips,3,04T,"04T, 8R7",Feed,Feed,2022-06-14T09:31:28Z
2022-06-22,04T 2022-06-22 13:18:22 Daniel Phillips,1,04T,04T,Rest,NA,2022-06-22T13:18:22Z
2022-06-22,04T 2022-06-22 13:18:22 Daniel Phillips,2,04T,04T,Rest,NA,2022-06-22T13:23:22Z
2022-06-22,04T 2022-06-22 13:18:22 Daniel Phillips,3,04T,"04T, 1G0",Rest,Rest,2022-06-22T13:28:22Z
2022-07-07,04T 2022-07-07 09:00:31 Daniel Phillips,1,04T,04T,Feed,NA,2022-07-07T09:00:31Z
2022-07-07,04T 2022-07-07 09:00:31 Daniel Phillips,2,04T,04T,Feed,NA,2022-07-07T09:05:31Z
2022-07-07,04T 2022-07-07 09:00:31 Daniel Phillips,3,04T,04T,Feed,NA,2022-07-07T09:10:31Z
2022-08-24,04T 2022-08-24 10:58:50 Daniel Phillips,1,04T,04T,Rest,NA,2022-08-24T10:58:50Z
2022-08-24,04T 2022-08-24 10:58:50 Daniel Phillips,2,04T,04T,Rest,NA,2022-08-24T11:03:50Z
2022-08-24,04T 2022-08-24 10:58:50 Daniel Phillips,3,04T,04T,Travel,NA,2022-08-24T11:08:50Z
