dyad,50%,2.5%,97.5%
14E.2E4,0.16,0.04,0.48
14E.1K1,0.1,0.02,0.37
14E.0F0,0.1,0.02,0.37
14E.5C6,0.1,0.02,0.37
14E.9C1,0.1,0.02,0.37
14E.00V,0.1,0.02,0.37
14E.2G4,0.1,0.02,0.37
14E.53Z,0.1,0.02,0.37
14E.1G1,0.1,0.02,0.37
14E.15E,0.1,0.02,0.37
14E.0K0,0.1,0.02,0.37
14E.78I,0.1,0.02,0.37
14E.5E8,0.1,0.02,0.37
14E.7C4,0.1,0.02,0.37
14E.52Z,0.1,0.02,0.37
14E.2I3,0.1,0.02,0.37
14E.1G6,0.1,0.02,0.37
14E.13H,0.1,0.02,0.37
14E.1I7,0.1,0.02,0.37
14E.9E8,0.1,0.02,0.37
14E.93T,0.1,0.02,0.37
14E.45Z,0.09,0.02,0.36
14E.90T,0.1,0.02,0.37
14E.4J4,0.1,0.02,0.37
14E.2G2,0.1,0.02,0.37
14E.47Z,0.1,0.02,0.37
14E.2G3,0.1,0.02,0.37
14E.4C9,0.1,0.02,0.37
14E.1G0,0.1,0.02,0.37
14E.1I5,0.1,0.02,0.37
14E.1K2,0.1,0.02,0.37
14E.1B0,0.1,0.02,0.37
14E.3H0,0.1,0.02,0.37
14E.T03,0.1,0.02,0.37
14E.4C5,0.1,0.02,0.37
14E.3D9,0.1,0.02,0.37
14E.98J,0.1,0.02,0.37
14E.85T,0.1,0.02,0.37
14E.1G4,0.1,0.02,0.37
14E.51Z,0.29,0.1,0.7
14E.1I6,0.1,0.02,0.37
14E.51A,0.37,0.14,0.83
14E.98K,0.1,0.02,0.37
14E.12E,0.36,0.14,0.81
14E.61R,0.1,0.02,0.37
14E.73V,0.12,0.02,0.48
14E.18I,0.09,0.02,0.36
14E.12O,0.1,0.02,0.37
14E.77I,0.1,0.02,0.37
14E.81O,0.1,0.02,0.37
14E.33T,0.1,0.02,0.37
14E.25R,0.1,0.02,0.37
14E.3J7,0.1,0.02,0.37
14E.32Z,0.1,0.02,0.37
14E.4E2,0.1,0.02,0.37
14E.0G1,0.1,0.02,0.37
14E.5E6,0.1,0.02,0.38
14E.1B1,0.1,0.02,0.37
14E.0I9,0.1,0.02,0.37
14E.06O,0.11,0.02,0.44
14E.5I3,0.11,0.02,0.44
14E.2F8,0.1,0.02,0.37
14E.3B9,0.1,0.02,0.37
14E.19T,0.1,0.02,0.37
14E.4G8,0.1,0.02,0.37
14E.3I6,0.1,0.02,0.37
14E.0J4,0.1,0.02,0.37
14E.3I9,0.1,0.02,0.37
14E.0E3,0.1,0.02,0.37
14E.7A2,0.1,0.02,0.37
14E.73S,0.11,0.02,0.42
14E.7F5,0.1,0.02,0.37
14E.04T,0.1,0.02,0.37
14E.1F2,0.1,0.02,0.39
14E.5J1,0.11,0.02,0.42
14E.9E3,0.12,0.02,0.46
14E.36V,0.11,0.02,0.42
14E.3I5,0.12,0.02,0.46
14E.9I9,0.1,0.02,0.37
14E.8D8,0.1,0.02,0.37
14E.5B0,0.1,0.02,0.37
14E.4D3,0.1,0.02,0.37
14E.28B,0.11,0.02,0.46
14E.5I5,0.09,0.02,0.36
14E.7G1,0.1,0.02,0.39
14E.8A9,0.1,0.02,0.39
14E.30Z,0.13,0.02,0.53
14E.9D7,0.13,0.02,0.54
14E.2H6,0.15,0.02,0.64
14E.17K,0.14,0.02,0.59
14E.60E,0.15,0.02,0.64
14E.2C9,0.13,0.02,0.54
2E4.1K1,0.29,0.1,0.69
2E4.0F0,0.15,0.04,0.48
2E4.5C6,0.09,0.02,0.36
2E4.9C1,0.09,0.02,0.36
2E4.00V,0.09,0.02,0.36
2E4.2G4,0.09,0.02,0.36
2E4.53Z,0.15,0.04,0.47
2E4.1G1,0.09,0.02,0.36
2E4.15E,0.15,0.04,0.48
2E4.0K0,0.1,0.02,0.37
2E4.78I,0.09,0.02,0.36
2E4.5E8,0.1,0.02,0.37
2E4.7C4,0.22,0.07,0.59
2E4.52Z,0.09,0.02,0.36
2E4.2I3,0.09,0.02,0.36
2E4.1G6,0.09,0.02,0.36
2E4.13H,0.09,0.02,0.36
2E4.1I7,0.09,0.02,0.36
2E4.9E8,0.09,0.02,0.36
2E4.93T,0.09,0.02,0.36
2E4.45Z,0.15,0.04,0.46
2E4.90T,0.09,0.02,0.36
2E4.4J4,0.09,0.02,0.36
2E4.2G2,0.09,0.02,0.36
2E4.47Z,0.09,0.02,0.36
2E4.2G3,0.09,0.02,0.36
2E4.4C9,0.09,0.02,0.36
2E4.1G0,0.09,0.02,0.36
2E4.1I5,0.09,0.02,0.36
2E4.1K2,0.09,0.02,0.36
2E4.1B0,0.09,0.02,0.36
2E4.3H0,0.09,0.02,0.36
2E4.T03,0.09,0.02,0.36
2E4.4C5,0.09,0.02,0.36
2E4.3D9,0.09,0.02,0.36
2E4.98J,0.1,0.02,0.37
2E4.85T,0.1,0.02,0.37
2E4.1G4,0.09,0.02,0.36
2E4.51Z,0.09,0.02,0.36
2E4.1I6,0.09,0.02,0.36
2E4.51A,0.36,0.14,0.81
2E4.98K,0.09,0.02,0.36
2E4.12E,0.43,0.18,0.89
2E4.61R,0.36,0.14,0.8
2E4.73V,0.12,0.02,0.47
2E4.18I,0.09,0.02,0.35
2E4.12O,0.09,0.02,0.36
