1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 7B00000041505C21
Is Mission Active?  true
Mission Start:  Fri May 07 08:18:00 BOT 2021
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1346
Total Samples:  38028
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
5/7/21 8:18:00 AM,C,32
5/7/21 8:48:00 AM,C,41.5
5/7/21 9:18:00 AM,C,43.5
5/7/21 9:48:00 AM,C,46
5/7/21 10:18:00 AM,C,47
5/7/21 10:48:00 AM,C,47
5/7/21 11:18:00 AM,C,49.5
5/7/21 11:48:00 AM,C,51
5/7/21 12:18:00 PM,C,50
5/7/21 12:48:00 PM,C,50.5
5/7/21 1:18:00 PM,C,48
5/7/21 1:48:00 PM,C,46
5/7/21 2:18:00 PM,C,46.5
5/7/21 2:48:00 PM,C,46
5/7/21 3:18:00 PM,C,45.5
5/7/21 3:48:00 PM,C,40.5
5/7/21 4:18:00 PM,C,38.5
5/7/21 4:48:00 PM,C,36.5
5/7/21 5:18:00 PM,C,34.5
5/7/21 5:48:00 PM,C,31
5/7/21 6:18:00 PM,C,30.5
5/7/21 6:48:00 PM,C,28
5/7/21 7:18:00 PM,C,27
5/7/21 7:48:00 PM,C,27
5/7/21 8:18:00 PM,C,26
5/7/21 8:48:00 PM,C,26
5/7/21 9:18:00 PM,C,25.5
5/7/21 9:48:00 PM,C,25.5
5/7/21 10:18:00 PM,C,25.5
5/7/21 10:48:00 PM,C,25
5/7/21 11:18:00 PM,C,25.5
5/7/21 11:48:00 PM,C,25.5
5/8/21 12:18:00 AM,C,25
5/8/21 12:48:00 AM,C,25.5
5/8/21 1:18:00 AM,C,25
5/8/21 1:48:00 AM,C,25
5/8/21 2:18:00 AM,C,24.5
5/8/21 2:48:00 AM,C,24.5
5/8/21 3:18:00 AM,C,24.5
5/8/21 3:48:00 AM,C,24.5
5/8/21 4:18:00 AM,C,24
5/8/21 4:48:00 AM,C,24
5/8/21 5:18:00 AM,C,23.5
5/8/21 5:48:00 AM,C,24
5/8/21 6:18:00 AM,C,24
5/8/21 6:48:00 AM,C,25
5/8/21 7:18:00 AM,C,31.5
5/8/21 7:48:00 AM,C,38
5/8/21 8:18:00 AM,C,43.5
5/8/21 8:48:00 AM,C,42
5/8/21 9:18:00 AM,C,45.5
5/8/21 9:48:00 AM,C,43.5
5/8/21 10:18:00 AM,C,42.5
5/8/21 10:48:00 AM,C,43.5
5/8/21 11:18:00 AM,C,42
5/8/21 11:48:00 AM,C,42.5
5/8/21 12:18:00 PM,C,40.5
5/8/21 12:48:00 PM,C,39.5
5/8/21 1:18:00 PM,C,39.5
5/8/21 1:48:00 PM,C,39.5
5/8/21 2:18:00 PM,C,36
5/8/21 2:48:00 PM,C,33
5/8/21 3:18:00 PM,C,34.5
5/8/21 3:48:00 PM,C,36
5/8/21 4:18:00 PM,C,32.5
5/8/21 4:48:00 PM,C,31
5/8/21 5:18:00 PM,C,31
5/8/21 5:48:00 PM,C,29.5
5/8/21 6:18:00 PM,C,30.5
5/8/21 6:48:00 PM,C,28.5
5/8/21 7:18:00 PM,C,27.5
5/8/21 7:48:00 PM,C,27
5/8/21 8:18:00 PM,C,27
5/8/21 8:48:00 PM,C,26.5
5/8/21 9:18:00 PM,C,26.5
5/8/21 9:48:00 PM,C,26
5/8/21 10:18:00 PM,C,26
5/8/21 10:48:00 PM,C,26
5/8/21 11:18:00 PM,C,26
5/8/21 11:48:00 PM,C,26
5/9/21 12:18:00 AM,C,25.5
5/9/21 12:48:00 AM,C,25.5
5/9/21 1:18:00 AM,C,26
5/9/21 1:48:00 AM,C,26
5/9/21 2:18:00 AM,C,26
5/9/21 2:48:00 AM,C,26
5/9/21 3:18:00 AM,C,25.5
5/9/21 3:48:00 AM,C,25
5/9/21 4:18:00 AM,C,25
5/9/21 4:48:00 AM,C,24.5
5/9/21 5:18:00 AM,C,24.5
5/9/21 5:48:00 AM,C,24.5
5/9/21 6:18:00 AM,C,25
5/9/21 6:48:00 AM,C,26.5
5/9/21 7:18:00 AM,C,33
5/9/21 7:48:00 AM,C,34
5/9/21 8:18:00 AM,C,35.5
5/9/21 8:48:00 AM,C,38.5
5/9/21 9:18:00 AM,C,39.5
5/9/21 9:48:00 AM,C,45.5
5/9/21 10:18:00 AM,C,46
5/9/21 10:48:00 AM,C,47.5
5/9/21 11:18:00 AM,C,47
5/9/21 11:48:00 AM,C,48
5/9/21 12:18:00 PM,C,47
5/9/21 12:48:00 PM,C,48.5
5/9/21 1:18:00 PM,C,46.5
5/9/21 1:48:00 PM,C,45
5/9/21 2:18:00 PM,C,45.5
5/9/21 2:48:00 PM,C,41
5/9/21 3:18:00 PM,C,40
5/9/21 3:48:00 PM,C,37.5
5/9/21 4:18:00 PM,C,38.5
5/9/21 4:48:00 PM,C,34
5/9/21 5:18:00 PM,C,33.5
5/9/21 5:48:00 PM,C,31.5
5/9/21 6:18:00 PM,C,30
5/9/21 6:48:00 PM,C,29
5/9/21 7:18:00 PM,C,28
5/9/21 7:48:00 PM,C,28
5/9/21 8:18:00 PM,C,27.5
5/9/21 8:48:00 PM,C,27.5
5/9/21 9:18:00 PM,C,27
5/9/21 9:48:00 PM,C,27
5/9/21 10:18:00 PM,C,27
5/9/21 10:48:00 PM,C,27
5/9/21 11:18:00 PM,C,27
5/9/21 11:48:00 PM,C,27
5/10/21 12:18:00 AM,C,27
5/10/21 12:48:00 AM,C,27
5/10/21 1:18:00 AM,C,26.5
5/10/21 1:48:00 AM,C,26.5
5/10/21 2:18:00 AM,C,26
5/10/21 2:48:00 AM,C,26.5
5/10/21 3:18:00 AM,C,26.5
5/10/21 3:48:00 AM,C,26.5
5/10/21 4:18:00 AM,C,26.5
5/10/21 4:48:00 AM,C,25
5/10/21 5:18:00 AM,C,24
5/10/21 5:48:00 AM,C,24
5/10/21 6:18:00 AM,C,24
5/10/21 6:48:00 AM,C,25
5/10/21 7:18:00 AM,C,27
5/10/21 7:48:00 AM,C,28.5
5/10/21 8:18:00 AM,C,31.5
5/10/21 8:48:00 AM,C,36.5
5/10/21 9:18:00 AM,C,40.5
5/10/21 9:48:00 AM,C,47.5
5/10/21 10:18:00 AM,C,42.5
5/10/21 10:48:00 AM,C,45
5/10/21 11:18:00 AM,C,38
5/10/21 11:48:00 AM,C,40.5
5/10/21 12:18:00 PM,C,44.5
5/10/21 12:48:00 PM,C,49
5/10/21 1:18:00 PM,C,41.5
5/10/21 1:48:00 PM,C,38.5
5/10/21 2:18:00 PM,C,36.5
5/10/21 2:48:00 PM,C,38
5/10/21 3:18:00 PM,C,38
5/10/21 3:48:00 PM,C,35.5
5/10/21 4:18:00 PM,C,35
5/10/21 4:48:00 PM,C,32.5
5/10/21 5:18:00 PM,C,31
5/10/21 5:48:00 PM,C,29.5
5/10/21 6:18:00 PM,C,28.5
5/10/21 6:48:00 PM,C,28
5/10/21 7:18:00 PM,C,27.5
5/10/21 7:48:00 PM,C,27.5
5/10/21 8:18:00 PM,C,27
5/10/21 8:48:00 PM,C,27
5/10/21 9:18:00 PM,C,26.5
5/10/21 9:48:00 PM,C,26.5
