C0/date,C0/min,C0/max,C0/mean,C0/stDev,C0/sampleCount,C0/noDataCount,C0/median,C0/p10,C0/p90,C0/cloudCoveragePercent
2014-01-21T00:00:00.000Z,-0.22929726541042328,0.7631917595863342,0.4428968915427763,0.2655754917790697,210,54,0.5321220755577087,0.1100492998957634,0.7471022009849548,0
2014-02-22T00:00:00.000Z,-0.13353531062602997,0.6473895907402039,0.32694368789163536,0.22289996681492924,210,54,0.3444167375564575,-0.015391116961836815,0.6137266755104065,0
2014-03-10T00:00:00.000Z,-0.348911315202713,0.7748819589614868,0.423319106014111,0.2772574948179519,210,54,0.5578669905662537,0.06752415001392365,0.7551046013832092,0
2014-03-26T00:00:00.000Z,-0.33209043741226196,0.7272069454193115,0.3907003318771528,0.2512562393938734,210,54,0.5034589171409607,0.02533882111310959,0.696099042892456,0
2014-04-27T00:00:00.000Z,-0.1455201357603073,0.7141872644424438,0.39335614280440884,0.2430358578538061,210,54,0.4952140748500824,0.03149877488613129,0.6832053661346436,0
2014-05-13T00:00:00.000Z,-0.1521567404270172,0.7695983648300171,0.4341599856837628,0.2665227944700963,210,54,0.5310429334640503,0.015917327255010605,0.7476682662963867,0
2014-05-29T00:00:00.000Z,-0.07002611458301544,0.6712095141410828,0.3743180327911456,0.21980091290825374,210,54,0.4655785858631134,0.031260740011930466,0.6416897773742676,0
2014-06-14T00:00:00.000Z,-0.10940396785736084,0.7809523940086365,0.4276999032837733,0.26025686398787584,210,54,0.5193865895271301,-0.00010877351451199502,0.7222112417221069,0
2014-09-18T00:00:00.000Z,-0.21901455521583557,0.8096430897712708,0.4663458623780079,0.26853108306884976,210,54,0.5677481889724731,0.0693693608045578,0.7912723422050476,0
2014-10-04T00:00:00.000Z,-0.08649928122758865,0.7308369278907776,0.4252011031509402,0.2386412991002106,210,54,0.5278380513191223,0.0755331739783287,0.70741868019104,0
2014-10-20T00:00:00.000Z,-0.23908522725105286,0.8161643147468567,0.47924357289687186,0.2811251295418106,210,54,0.5820027589797974,0.04202849045395851,0.7945876717567444,0
2014-11-21T00:00:00.000Z,-0.280180960893631,0.8087571859359741,0.45970644376789915,0.2846598635428301,210,54,0.5458515286445618,0.05994413420557976,0.7554728388786316,0
2014-12-07T00:00:00.000Z,-0.27272728085517883,0.8192653059959412,0.4801187518601999,0.2743633136330037,210,54,0.5648932456970215,0.11687681078910828,0.7778795957565308,0
2014-12-23T00:00:00.000Z,0.0012441599974408746,0.6339220404624939,0.35678925856915084,0.1790411118824968,210,54,0.40896162390708923,0.09640049189329147,0.547896146774292,0
2015-01-08T00:00:00.000Z,-0.21641550958156586,0.7544248104095459,0.42134342151574616,0.2698200859522737,210,54,0.5114242434501648,0.05805736407637596,0.7434092164039612,0
2015-02-09T00:00:00.000Z,-0.23785164952278137,0.29994863271713257,0.11902038095733866,0.1071996139204946,210,54,0.13088572025299072,0.010452947579324245,0.2649327516555786,7.692307692307697
2015-02-25T00:00:00.000Z,-0.2372070997953415,0.7862453460693359,0.42092590010127956,0.2866955473569486,210,54,0.5269715785980225,-0.04168723523616791,0.7714477777481079,0
2015-03-29T00:00:00.000Z,-0.2205418050289154,0.756818413734436,0.38342033429011596,0.267008090928807,210,54,0.4820210933685303,-0.005705208517611027,0.7188617587089539,1.282051282051282
2015-04-14T00:00:00.000Z,-0.20896092057228088,0.7785784006118774,0.3830897842850299,0.26259088552278015,210,54,0.418348103761673,0.0037828399799764156,0.698777973651886,0
2015-04-30T00:00:00.000Z,-0.12765957415103912,0.6505694389343262,0.32396941865460055,0.22077669915182624,210,54,0.37746354937553406,-0.016350209712982178,0.583361029624939,0
2015-07-03T00:00:00.000Z,-0.08092214912176132,0.6491417288780212,0.34408659849148704,0.21319676274019075,210,54,0.40875789523124695,0.023519083857536316,0.6133829355239868,0
2015-07-19T00:00:00.000Z,-0.044575829058885574,0.6356877684593201,0.3404485643408499,0.19746218026739612,210,54,0.406038373708725,0.057487230747938156,0.5926849246025085,0
2015-08-04T00:00:00.000Z,-0.10770081728696823,0.6385006904602051,0.3239983366503833,0.2219175947106476,210,54,0.3976663649082184,-0.008745105005800724,0.5986681580543518,0
2015-09-05T00:00:00.000Z,0.01634967513382435,0.09186014533042908,0.04940721250545139,0.017593831166714965,210,54,0.048128336668014526,0.027179310098290443,0.07275975495576859,0
2015-09-21T00:00:00.000Z,-0.2551046907901764,0.831262469291687,0.46263643664618337,0.2676057819743412,210,54,0.5149451494216919,0.08276504278182983,0.7586143016815186,0
2015-11-24T00:00:00.000Z,-0.2770167589187622,0.7906683683395386,0.451084094497044,0.26975486338787,210,54,0.5349692106246948,0.05492100119590759,0.7528620958328247,0
2015-12-10T00:00:00.000Z,-0.3478938937187195,0.8075331449508667,0.45009362431338595,0.2981729395257063,210,54,0.5774344801902771,0.07597958296537399,0.7933488488197327,0
2016-01-11T00:00:00.000Z,0.0841965526342392,0.3149014115333557,0.19803500743821645,0.06378005120781699,210,54,0.19495368003845215,0.11680988222360611,0.28790590167045593,0
2016-01-27T00:00:00.000Z,-0.3268444538116455,0.6825516223907471,0.27601565316749305,0.2711618099969239,210,54,0.3035714328289032,-0.08136848360300064,0.6007035970687866,0
2016-02-12T00:00:00.000Z,-0.26133909821510315,0.7828248739242554,0.4199848866108087,0.28941985299420525,210,54,0.5334052443504333,0.01947062462568283,0.7474717497825623,0
2016-04-16T00:00:00.000Z,-0.22352109849452972,0.7680859565734863,0.3994468719077606,0.2560684244836003,210,54,0.45880094170570374,0.026017962023615837,0.7115066051483154,0
