C0/date,C0/min,C0/max,C0/mean,C0/stDev,C0/sampleCount,C0/noDataCount,C0/median,C0/p10,C0/p90,C0/cloudCoveragePercent
2017-12-31T00:00:00.000Z,-0.375,0.5755820274353027,0.16306289653622139,0.22509814761497304,210,54,0.18179833889007568,-0.13335809111595154,0.44917070865631104,0
2018-01-16T00:00:00.000Z,-0.3906420171260834,0.5626763105392456,0.17000856814094076,0.2210165702404182,210,54,0.18909908831119537,-0.14457140862941742,0.44363105297088623,0
2018-02-01T00:00:00.000Z,-0.37631794810295105,0.30331599712371826,0.09535336484446023,0.1388507883131494,210,54,0.11799734830856323,-0.09276017546653748,0.28306514024734497,0
2018-03-21T00:00:00.000Z,-0.2737598121166229,0.4783592224121094,0.1491221580893183,0.18336866140218303,210,54,0.15806765854358673,-0.09333661943674088,0.3758065700531006,5.128205128205129
2018-04-06T00:00:00.000Z,-0.2433239370584488,0.47776496410369873,0.17302321811588717,0.16809046262243468,210,54,0.1669280230998993,-0.053367674350738525,0.3919382393360138,0
2018-04-22T00:00:00.000Z,-0.09278350323438644,0.3782278001308441,0.1523141520223222,0.12158229631946596,210,54,0.14415499567985535,-0.015592709183692932,0.32275280356407166,0
2018-05-24T00:00:00.000Z,-0.08034376055002213,0.46260273456573486,0.19469417254321084,0.13752491354209023,210,54,0.18473578989505768,-0.00725535536184907,0.3756599426269531,0
2018-08-12T00:00:00.000Z,-0.1748216599225998,0.5138388872146606,0.21508264375062514,0.18697160365983823,210,54,0.24382878839969635,-0.06286768615245819,0.4460017681121826,0
2018-08-28T00:00:00.000Z,-0.1735074669122696,0.5714643597602844,0.24613586555306716,0.1968339749169789,210,54,0.2938820719718933,-0.04869360476732254,0.48536011576652527,0
2018-09-13T00:00:00.000Z,-0.16808152198791504,0.5509817004203796,0.235854988069966,0.19256531224121767,210,54,0.2785012722015381,-0.05308045819401741,0.4836917817592621,0
2018-10-31T00:00:00.000Z,-0.4476679861545563,0.6571382880210876,0.22740220173429218,0.2159544482328717,210,54,0.22828203439712524,-0.0811263769865036,0.5016368627548218,0
2018-12-02T00:00:00.000Z,-0.4071810841560364,0.5605435371398926,0.1801564516738439,0.23653168419798606,210,54,0.20055532455444336,-0.15612010657787323,0.5023102164268494,0
2018-12-18T00:00:00.000Z,-0.39247316122055054,0.577724277973175,0.14668841213465508,0.23529174772490083,210,54,0.1943100243806839,-0.19706687331199646,0.4655100107192993,0
2019-01-03T00:00:00.000Z,-0.3282553553581238,0.5754105448722839,0.18759591368218068,0.2198633054606269,210,54,0.18001705408096313,-0.0936255231499672,0.4975431561470032,0
2019-01-19T00:00:00.000Z,-0.4510408639907837,0.587080180644989,0.2063740871261614,0.23347915846869916,210,54,0.23687633872032166,-0.09975863993167877,0.51662278175354,0
2019-03-08T00:00:00.000Z,-0.3119376003742218,0.5026912689208984,0.20516204691300982,0.2028747840197072,210,54,0.25363144278526306,-0.08233504742383957,0.4648129343986511,0
2019-04-09T00:00:00.000Z,-0.2874959111213684,0.498033344745636,0.18906452693492898,0.18816319130504944,210,54,0.2530420124530792,-0.0648639053106308,0.4178062975406647,0
2019-04-25T00:00:00.000Z,-0.24721659719944,0.4459187090396881,0.20240534763210105,0.17009087670751533,210,54,0.2554112374782562,-0.0551692470908165,0.410139799118042,1.2820512820512824
2019-05-11T00:00:00.000Z,-0.21281740069389343,0.26477906107902527,0.07744786155242951,0.12355994762235764,210,54,0.12010740488767624,-0.09851112961769104,0.23162031173706055,0
2019-05-27T00:00:00.000Z,-0.21155574917793274,0.45942243933677673,0.2191866608485819,0.1780203356097831,210,54,0.2607758343219757,-0.04106376692652702,0.43606746196746826,1.2820512820512824
2019-06-12T00:00:00.000Z,-0.2303699105978012,0.5601047277450562,0.23000129652567775,0.1942330747070149,210,54,0.27315738797187805,-0.03109794110059738,0.4580908417701721,0
2019-08-31T00:00:00.000Z,-0.007234919350594282,0.40204793214797974,0.2243367353982578,0.12342674367467606,210,54,0.2601509690284729,0.0531822144985199,0.3900177478790283,1.2820512820512824
2019-09-16T00:00:00.000Z,-0.11680112034082413,0.5829835534095764,0.2776263477788186,0.17796696209000704,210,54,0.33384615182876587,0.03590334579348564,0.5097807049751282,5.128205128205129
2019-10-02T00:00:00.000Z,0.0407993458211422,0.39613401889801025,0.21737104936096907,0.10185814615382735,210,54,0.2324332296848297,0.07647781074047089,0.3598174750804901,0
2019-10-18T00:00:00.000Z,-0.3701278269290924,0.6084511280059814,0.2596404546832975,0.2329027915938431,210,54,0.3053056001663208,-0.07685589790344238,0.5774229764938354,0
2019-11-19T00:00:00.000Z,-0.3212380111217499,0.6490588784217834,0.2746382221036279,0.22958833993357433,210,54,0.29426881670951843,-0.021432699635624886,0.5700364708900452,0
2019-12-05T00:00:00.000Z,-0.28224876523017883,0.609049916267395,0.24450638438933167,0.22937089850256018,210,54,0.26844075322151184,-0.0796055942773819,0.545859694480896,0
2020-01-06T00:00:00.000Z,-0.35374951362609863,0.5617275238037109,0.20025843026068732,0.2284673264378134,210,54,0.24145102500915527,-0.13717129826545715,0.5139003396034241,0
2020-02-07T00:00:00.000Z,-0.3034825623035431,0.6224305629730225,0.2225042337384552,0.25492281514846044,210,54,0.27529025077819824,-0.14671772718429565,0.540978193283081,3.8461538461538463
2020-02-23T00:00:00.000Z,-0.26625385880470276,0.33360257744789124,0.10019812002204931,0.1827122943543111,210,54,0.13980883359909058,-0.15451453626155853,0.3014451563358307,0
