AnimalID,Sex,Group,DOB,Age,mother_id,mother_rk,Rank_ord,mother_social,Survival,DOD,Age_Cat,Time,Age_entry,Age_event,Group_size,no_females,Maternal_social,Social_ord
3Y4,2,F,07/08/2017,0,5C0,3,1,8,0,,2,365,74,439,114,75,1.968506762,1
AA5,2,F,11/04/2016,0,04N,11,1,7,0,,2,365,320,685,114,75,1.471088386,1
I1861J,2,F,8/31/2017,0,61J,43,3,8,1,10/03/2017,2,33,20,53,114,75,1.968506762,1
AB1,2,F,8/31/2017,0,0A9,53,3,8,0,,2,365,20,385,114,75,1.968506762,1
2Y3,2,F,7/13/2017,0,29Z,62,3,9,0,,2,365,69,434,114,75,2.465925137,1
8X5,1,F,7/14/2017,0,2A2,69,3,7,0,,2,365,68,433,114,75,1.471088386,1
I188L3,1,KK,07/10/2017,0,8L3,2,1,12,1,11/15/2017,2,128,72,200,106,69,2.939818971,1
AE0,1,KK,06/05/2017,0,24V,3,1,7,0,,2,365,107,472,106,69,1.065151801,1
8Z6,1,KK,7/21/2017,0,2J7,5,1,10,0,,2,365,61,426,106,69,2.189952103,1
AG4,1,KK,6/18/2017,0,76J,9,1,10,0,,2,365,94,459,106,69,2.189952103,1
AE4,1,KK,7/19/2017,0,6C2,20,2,8,0,,2,365,63,428,106,69,1.440085235,1
AF3,2,KK,06/05/2017,0,6D9,23,2,8,0,,2,365,107,472,106,69,1.440085235,1
3Z4,1,KK,07/04/2017,0,6D4,36,3,7,0,,2,365,78,443,106,69,1.065151801,1
I180F0,1,V,08/04/2017,0,0F0,4,1,5,1,1/25/2018,2,174,47,221,111,50,1.658715436,1
I185L7,1,V,08/09/2017,0,5L7,28,3,5,1,11/03/2017,2,86,42,128,111,50,1.658715436,1
I1885T,2,V,8/14/2017,0,85T,47,3,5,0,11/29/2018,2,365,37,402,111,50,1.658715436,1
2Y6,1,F,09/07/2017,0,9D8,6,1,2,0,,2,365,13,378,114,75,-1.01600349,2
I180I6-1,2,F,6/15/2017,0,0I6,17,2,2,1,3/22/2018,2,280,97,377,114,75,-1.01600349,2
7Y6,2,F,8/16/2017,0,7D8,27,2,2,0,,2,365,35,400,114,75,-1.01600349,2
1Y0,1,F,08/09/2017,0,2A7,36,2,2,0,,2,365,42,407,114,75,-1.01600349,2
I185K1,1,F,07/05/2017,0,5K1,42,3,1,1,5/24/2018,2,323,77,400,114,75,-1.513421865,2
1Y7,2,F,7/13/2017,0,1L5,52,3,2,0,,2,365,69,434,114,75,-1.01600349,2
4Y1,1,F,7/15/2017,0,2J2,55,3,2,0,,2,365,67,432,114,75,-1.01600349,2
I1828J,2,F,6/24/2017,0,28J,67,3,2,1,12/14/2017,2,173,88,261,114,75,-1.01600349,2
8X6,1,F,7/13/2017,0,1K5,72,3,1,0,,2,365,69,434,114,75,-1.513421865,2
1Y1,2,F,8/22/2017,0,90P,NA,,1,0,,2,365,29,394,114,75,-1.513421865,2
AD9,1,KK,8/28/2017,0,6K6,17,2,1,0,,2,365,23,388,106,69,-1.184448803,2
3Z7,1,KK,7/19/2017,0,3F7,19,2,1,0,,2,365,63,428,106,69,-1.184448803,2
8Z3,2,KK,07/06/2017,0,2O7,44,3,1,0,,2,365,76,441,106,69,-1.184448803,2
2Z9,1,KK,7/18/2017,0,9L9,46,3,1,0,,2,365,64,429,106,69,-1.184448803,2
6Z3,2,KK,08/09/2017,0,1O7,NA,,1,0,,2,365,42,407,106,69,-1.184448803,2
2Z8,1,KK,07/01/2017,0,0Q5,NA,,1,0,,2,365,81,446,106,69,-1.184448803,2
I183R0,1,KK,08/01/2017,0,3R0,NA,,1,1,10/31/2017,2,91,50,141,106,69,-1.184448803,2
I189C1,2,V,09/07/2017,0,9C1,8,1,1,0,11/15/2018,2,365,13,378,111,50,-1.320202082,2
AZ9,1,V,08/01/2017,0,1I7,16,2,1,0,,2,365,50,415,111,50,-1.320202082,2
AH3,1,V,7/13/2017,0,7K8,22,2,1,0,,2,365,69,434,111,50,-1.320202082,2
I181I5,2,V,9/14/2017,0,1I5,31,3,1,1,09/01/2018,2,352,6,358,111,50,-1.320202082,2
3Z3,1,KK,7/27/2017,0,5M5,45,3,NA,0,,2,365,55,420,106,69,NA,
