1-Wire/iButton Part Number: DS1921G-F5,,
1-Wire/iButton Registration Number: EF000000347B4E21,,
Is Mission Active?  true,,
Mission Start:  Wed Sep 05 09:21:00 BOT 2018,,
Sample Rate:  Every 20 minute(s),,
Number of Mission Samples:  2888,,
Total Samples:  10923,,
Roll Over Enabled?  false,,
Roll Over Occurred?  Roll over has occurred,,
Active Alarms:  None fired,,
Next Clock Alarm At:  Disabled,,
High Temperature Alarm:  85 �C,,
Low Temperature Alarm:  -40 �C,,

Date/Time,Unit,Value
9/15/2018 17:01,C,35.5
9/15/2018 17:21,C,34
9/15/2018 17:41,C,33
9/15/2018 18:01,C,31.5
9/15/2018 18:21,C,30.5
9/15/2018 18:41,C,29.5
9/15/2018 19:01,C,29
9/15/2018 19:21,C,29
9/15/2018 19:41,C,28.5
9/15/2018 20:01,C,28.5
9/15/2018 20:21,C,28
9/15/2018 20:41,C,26.5
9/15/2018 21:01,C,27
9/15/2018 21:21,C,26
9/15/2018 21:41,C,26.5
9/15/2018 22:01,C,24.5
9/15/2018 22:21,C,25
9/15/2018 22:41,C,24.5
9/15/2018 23:01,C,24.5
9/15/2018 23:21,C,24.5
9/15/2018 23:41,C,24.5
9/16/2018 0:01,C,24
9/16/2018 0:21,C,24
9/16/2018 0:41,C,24.5
9/16/2018 1:01,C,24
9/16/2018 1:21,C,24.5
9/16/2018 1:41,C,24.5
9/16/2018 2:01,C,24.5
9/16/2018 2:21,C,24.5
9/16/2018 2:41,C,24.5
9/16/2018 3:01,C,24.5
9/16/2018 3:21,C,24.5
9/16/2018 3:41,C,24.5
9/16/2018 4:01,C,24.5
