groom_giver,groom_reciever,constrained_duration,observation_name
93T,0S6,121,0S6 2021-06-09 11:14:59 Daniel Phillips
1Q7,2K1,292,2K1 2021-06-10 07:48:40 Daniel Phillips
93T,1B1,504,1B1 2021-06-10 10:58:52 Daniel Phillips
6E6,3D9,212,6E6 2021-06-14 13:39:13 Daniel Phillips
5U4,2G3,426,5U4 2021-06-15 10:14:37 Daniel Phillips
5L7,9R8,21,9R8 2021-06-15 13:09:29 Daniel Phillips
8R5,6U0,232,6U0 2021-06-15 13:36:56 Daniel Phillips
1Q7,1G4,43,1Q7 2021-06-16 11:08:13 Daniel Phillips
1Q7,4U1,104,1Q7 2021-06-16 11:08:13 Daniel Phillips
04T,3U4,387,04T 2021-06-16 13:48:45 Daniel Phillips
1G1,1I7,38,1I7 2021-06-22 12:42:46 Daniel Phillips
9P3,90T,55,9P3 2021-06-22 12:56:32 Daniel Phillips
2G2,9P3,238,2G2 2021-06-23 13:45:10 Daniel Phillips
93T,2G2,83,2G2 2021-06-23 13:45:10 Daniel Phillips
2G2,93T,102,2G2 2021-06-23 13:45:10 Daniel Phillips
4U1,1Q7,19,4U1 2021-06-24 13:02:20 Daniel Phillips
4U1,1Q7,83,4U1 2021-06-24 13:02:20 Daniel Phillips
0H8,7J0,83,7J0 2021-06-28 13:19:51 Daniel Phillips
1Q7,51Z,208,1Q7 2021-06-29 08:21:47 Daniel Phillips
0S6,2G2,260,0S6 2021-06-29 09:54:13 Daniel Phillips
1Q7,3U0,106,3U0 2021-06-29 11:03:58 Daniel Phillips
8C3,2D0,22,2D0 2021-07-08 12:43:11 Daniel Phillips
2D0,8C3,221,2D0 2021-07-08 12:43:11 Daniel Phillips
8C3,2D0,311,2D0 2021-07-08 12:43:11 Daniel Phillips
6E6,3U4,41,6E6 2021-07-13 11:34:45 Daniel Phillips
3U4,6E6,409,6E6 2021-07-13 11:34:45 Daniel Phillips
6E6,3U4,70,6E6 2021-07-13 11:34:45 Daniel Phillips
5L7,9R8,15,5L7 2021-07-14 08:13:03 Daniel Phillips
1I7,0M1,68,0M1 2021-07-15 13:18:31 Daniel Phillips
8C3,9K9,92,9K9 2021-07-16 11:56:12 Daniel Phillips
33T,5E8,26,5E8 2021-07-19 11:04:05 Daniel Phillips
